ID,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
49,Ashburton,16a Nicholas St,3,h,1100000,PI,Marshall,8/10/16,11.0,3147,3,3,2.0,276,178.0,2004.0,Boroondara,-37.8699,145.0778,Southern Metropolitan,3052
50,Ashburton,18 Glen Rd,3,h,1665000,S,Jellis,15/10/16,11.0,3147,3,2,3.0,702,145.0,1945.0,Boroondara,-37.8737,145.0695,Southern Metropolitan,3052
52,Ashburton,14 Lucerne St,3,h,1415000,S,Buxton,27/6/16,11.0,3147,3,1,1.0,605,111.0,1950.0,Boroondara,-37.8703,145.0774,Southern Metropolitan,3052
57,Ashwood,3 Harold St,4,h,1500000,S,Buxton,15/10/16,12.2,3147,4,2,1.0,593,255.0,1930.0,Monash,-37.8655,145.096,Southern Metropolitan,2894
59,Ashwood,2/6 Murra Ct,2,u,700000,S,hockingstuart,22/8/16,12.2,3147,2,1,2.0,192,88.0,2007.0,Monash,-37.8709,145.102,Southern Metropolitan,2894
60,Avondale Heights,8 Norma Ct,3,h,850000,S,Moonee,3/9/16,10.5,3034,3,1,1.0,593,118.0,1970.0,Moonee Valley,-37.7677,144.8674,Western Metropolitan,4502
65,Avondale Heights,43 Skewes St,3,h,634000,S,Nelson,28/5/16,10.5,3034,4,2,1.0,582,153.0,1950.0,Moonee Valley,-37.7584,144.8568,Western Metropolitan,4502
67,Balaclava,7/72 Grosvenor St,2,u,410000,PI,hockingstuart,3/12/16,6.6,3183,2,1,2.0,0,61.0,1965.0,Port Phillip,-37.8731,144.9958,Southern Metropolitan,2952
70,Balwyn,142 Balwyn Rd,2,h,1850000,VB,Fletchers,6/8/16,9.7,3103,3,1,1.0,1015,166.0,1930.0,Boroondara,-37.8074,145.0826,Southern Metropolitan,5682
71,Balwyn,4/3 King St,3,h,700000,VB,Marshall,7/5/16,9.7,3103,3,1,1.0,188,110.0,1970.0,Boroondara,-37.8065,145.065,Southern Metropolitan,5682
72,Balwyn,3 Westminster St,3,h,2125000,SP,Jellis,7/5/16,9.7,3103,3,2,2.0,699,252.0,1985.0,Boroondara,-37.814,145.0966,Southern Metropolitan,5682
73,Balwyn,1/252 Union Rd,2,u,526000,S,hockingstuart,10/9/16,9.7,3103,2,1,1.0,0,73.0,1960.0,Boroondara,-37.8144,145.0993,Southern Metropolitan,5682
79,Balwyn,26 Wills St,4,h,2000000,PI,hockingstuart,27/6/16,9.7,3103,3,1,2.0,739,291.0,1930.0,Boroondara,-37.8039,145.0631,Southern Metropolitan,5682
80,Balwyn,33 Power St,4,h,1700000,VB,Marshall,30/7/16,9.7,3103,3,1,1.0,672,115.0,1935.0,Boroondara,-37.8099,145.0792,Southern Metropolitan,5682
81,Balwyn North,19 Jacka St,4,h,3230000,S,Jellis,3/9/16,9.2,3104,4,4,3.0,1135,275.0,1960.0,Boroondara,-37.8014,145.0892,Southern Metropolitan,7809
82,Balwyn North,25 Bolinda Rd,4,h,1905000,S,Noel,3/12/16,9.2,3104,4,2,2.0,647,185.0,1955.0,Boroondara,-37.7917,145.0868,Southern Metropolitan,7809
83,Balwyn North,30 Hood St,4,h,1900000,VB,Fletchers,3/12/16,9.2,3104,4,2,2.0,642,215.0,1955.0,Boroondara,-37.7988,145.0726,Southern Metropolitan,7809
84,Balwyn North,13 Riverview Rd,4,h,2205000,PI,RW,3/12/16,9.2,3104,4,2,2.0,750,214.0,1950.0,Boroondara,-37.7906,145.0788,Southern Metropolitan,7809
86,Balwyn North,30 Clifton St,4,h,1572000,S,hockingstuart,7/5/16,9.2,3104,4,2,2.0,662,330.0,1965.0,Boroondara,-37.798,145.1007,Southern Metropolitan,7809
87,Balwyn North,41 Helston St,4,h,1800000,VB,Fletchers/One,10/12/16,9.2,3104,4,2,4.0,587,165.0,1960.0,Boroondara,-37.7841,145.0953,Southern Metropolitan,7809
88,Balwyn North,15 Moody St,4,h,2910000,S,Marshall,10/12/16,9.2,3104,4,3,2.0,1070,247.0,1992.0,Boroondara,-37.7975,145.0716,Southern Metropolitan,7809
92,Balwyn North,85a Woodville St,3,h,1335000,S,Fletchers,22/5/16,9.2,3104,3,2,2.0,368,177.0,2009.0,Boroondara,-37.7846,145.0935,Southern Metropolitan,7809
94,Balwyn North,19 Hedderwick St,4,h,1250000,VB,Marshall,25/2/17,9.2,3104,4,2,2.0,644,153.0,1950.0,Boroondara,-37.7997,145.0993,Southern Metropolitan,7809
95,Balwyn North,16 Nevada St,4,h,1700000,VB,Jellis,27/6/16,9.2,3104,3,2,5.0,754,175.0,1960.0,Boroondara,-37.786,145.0886,Southern Metropolitan,7809
96,Balwyn North,123 Winfield Rd,5,h,1560000,S,RT,27/11/16,9.2,3104,5,2,3.0,845,199.0,1980.0,Boroondara,-37.7898,145.1021,Southern Metropolitan,7809
100,Bentleigh,13 Somers St,3,h,1317500,S,Buxton,4/6/16,13.0,3204,3,1,1.0,576,127.0,1945.0,Glen Eira,-37.9149,145.0254,Southern Metropolitan,6795
101,Bentleigh,39 Luckins Rd,4,h,1300000,PI,Buxton,7/11/16,13.0,3204,4,2,2.0,697,194.0,1940.0,Glen Eira,-37.9318,145.0474,Southern Metropolitan,6795
104,Bentleigh,33 Luckins Rd,3,h,1328000,S,Woodards,15/10/16,13.0,3204,3,2,2.0,690,245.0,1970.0,Glen Eira,-37.9317,145.0469,Southern Metropolitan,6795
105,Bentleigh,4 Daley St,3,h,1370000,S,hockingstuart,16/7/16,13.0,3204,3,1,2.0,624,143.0,1950.0,Glen Eira,-37.9256,145.0374,Southern Metropolitan,6795
108,Bentleigh East,24 Brooks St,4,h,1220000,S,Hodges,4/6/16,13.9,3165,3,2,2.0,585,178.0,1950.0,Glen Eira,-37.9167,145.0771,Southern Metropolitan,10969
109,Bentleigh East,71 Bignell Rd,4,h,1200000,S,hockingstuart,7/5/16,13.9,3165,4,2,2.0,619,191.0,1960.0,Glen Eira,-37.9358,145.0688,Southern Metropolitan,10969
110,Bentleigh East,41 Bradford St,3,h,845000,S,Ray,12/11/16,13.9,3165,3,2,2.0,295,145.0,1998.0,Glen Eira,-37.9239,145.0781,Southern Metropolitan,10969
112,Bentleigh East,25 Thornton St,3,h,920000,PI,Buxton,12/11/16,13.9,3165,3,2,2.0,578,120.0,1950.0,Glen Eira,-37.9303,145.0805,Southern Metropolitan,10969
114,Bentleigh East,11 Moylan St,4,h,1690000,S,Gary,17/9/16,13.9,3165,4,2,2.0,700,165.0,1950.0,Glen Eira,-37.9117,145.0534,Southern Metropolitan,10969
116,Bentleigh East,2/40 Francesco St,3,t,970000,S,Matthew,18/3/17,13.9,3165,3,2,2.0,267,156.0,2000.0,Glen Eira,-37.9176,145.0566,Southern Metropolitan,10969
117,Bentleigh East,1/38 Kennedy St,4,t,1045000,S,Buxton,18/6/16,13.9,3165,4,2,1.0,316,190.0,2010.0,Glen Eira,-37.9198,145.0789,Southern Metropolitan,10969
118,Bentleigh East,2/14 Wamba Rd,3,u,920000,SP,Buxton,18/6/16,13.9,3165,3,2,1.0,388,123.0,2007.0,Glen Eira,-37.9329,145.053,Southern Metropolitan,10969
119,Bentleigh East,14 Florence St,3,h,977000,S,Buxton,19/11/16,13.9,3165,3,1,2.0,543,163.0,1970.0,Glen Eira,-37.9242,145.0705,Southern Metropolitan,10969
120,Bentleigh East,54 Elizabeth St,3,h,1197000,S,Buxton,22/5/16,13.9,3165,3,1,2.0,692,147.0,1949.0,Glen Eira,-37.9232,145.0563,Southern Metropolitan,10969
123,Bentleigh East,5a Cavalier St,3,t,965000,S,Buxton,24/9/16,13.9,3165,3,2,1.0,283,28.0,2010.0,Glen Eira,-37.9142,145.08,Southern Metropolitan,10969
124,Bentleigh East,2A Barrani St,4,t,1325000,S,Buxton,25/2/17,13.9,3165,4,4,2.0,363,265.0,2012.0,Glen Eira,-37.9116,145.0686,Southern Metropolitan,10969
125,Bentleigh East,1/811 Centre Rd,2,h,710000,S,Buxton,27/11/16,13.9,3165,2,1,1.0,0,115.0,1950.0,Glen Eira,-37.9212,145.0606,Southern Metropolitan,10969
128,Bentleigh East,27 Connie St,4,h,1255000,S,Buxton,28/8/16,13.9,3165,4,2,2.0,610,167.0,1950.0,Glen Eira,-37.9207,145.0757,Southern Metropolitan,10969
129,Bentleigh East,8 Marlborough St,3,h,1320000,S,Buxton,28/8/16,13.9,3165,3,1,1.0,593,94.0,1950.0,Glen Eira,-37.9178,145.067,Southern Metropolitan,10969
130,Bentleigh East,1/39 Neville St,3,h,870000,S,Gary,28/8/16,13.9,3165,3,2,1.0,326,133.0,1950.0,Glen Eira,-37.9236,145.0545,Southern Metropolitan,10969
131,Box Hill,6/29 Barkly St,2,u,645000,S,McGrath,4/3/17,13.1,3128,2,1,1.0,140,81.0,1965.0,Whitehorse,-37.8271,145.1299,Eastern Metropolitan,4605
133,Box Hill,18 Glenmore St,4,h,1560000,PI,Jellis,10/9/16,13.1,3128,3,2,3.0,729,167.0,1905.0,Whitehorse,-37.8233,145.1267,Eastern Metropolitan,4605
134,Box Hill,33 Pendle St,4,h,1670000,S,Noel,17/9/16,13.1,3128,4,4,4.0,707,162.0,1926.0,Whitehorse,-37.8166,145.1354,Eastern Metropolitan,4605
136,Box Hill,2/38 Margaret St,3,t,822500,S,Noel,28/5/16,13.1,3128,3,2,1.0,238,130.0,2000.0,Whitehorse,-37.8154,145.1355,Eastern Metropolitan,4605
137,Braybrook,144 Duke St,2,h,868000,S,Bells,7/11/16,10.8,3019,2,1,4.0,749,77.0,1950.0,Maribyrnong,-37.7814,144.847,Western Metropolitan,3589
141,Brighton,4/78 Dendy St,3,h,1390000,S,Tiernan's,4/3/17,11.2,3186,3,1,2.0,340,137.0,1975.0,Bayside,-37.9205,145.0007,Southern Metropolitan,10579
142,Brighton,1/112 Roslyn St,2,u,1300000,S,Nick,4/3/17,11.2,3186,2,2,2.0,329,132.0,1940.0,Bayside,-37.9172,145.004,Southern Metropolitan,10579
143,Brighton,124 Cole St,4,h,1761000,S,Kay,6/8/16,11.2,3186,4,2,3.0,615,135.0,1920.0,Bayside,-37.8956,145.0026,Southern Metropolitan,10579
144,Brighton,4/149 Church St,2,u,892500,S,Nick,7/5/16,11.2,3186,2,1,2.0,232,92.0,1970.0,Bayside,-37.9157,144.9973,Southern Metropolitan,10579
145,Brighton,120 Cole St,4,h,2145000,S,Buxton,7/5/16,11.2,3186,3,2,1.0,550,197.0,1910.0,Bayside,-37.8954,145.0017,Southern Metropolitan,10579
149,Brighton,6/138 New St,1,u,375000,S,hockingstuart,15/10/16,11.2,3186,1,1,1.0,0,40.0,1965.0,Bayside,-37.9181,144.993,Southern Metropolitan,10579
150,Brighton,12 May St,4,h,2800000,S,Biggin,18/3/17,11.2,3186,4,2,4.0,569,229.0,1910.0,Bayside,-37.8962,145.0011,Southern Metropolitan,10579
151,Brighton,64 North Rd,4,h,2700000,SP,Nick,19/11/16,11.2,3186,4,2,2.0,732,333.0,1925.0,Bayside,-37.8987,144.9953,Southern Metropolitan,10579
154,Brighton,86 Dendy St,5,h,3105000,S,Marshall,28/8/16,11.2,3186,4,2,2.0,1045,304.0,1930.0,Bayside,-37.9205,145.0012,Southern Metropolitan,10579
156,Brighton East,7 Balfour St,4,h,1940000,S,hockingstuart,3/9/16,10.7,3187,4,2,2.0,682,240.0,1960.0,Bayside,-37.9205,145.0122,Southern Metropolitan,6938
161,Brighton East,48 Thomas St,2,h,1000000,PI,Biggin,10/9/16,10.7,3187,2,1,2.0,564,131.0,1948.0,Glen Eira,-37.9143,145.0238,Southern Metropolitan,6938
164,Brighton East,92 Thomas St,5,h,3207000,S,hockingstuart,10/12/16,10.7,3187,5,5,3.0,1561,272.0,1969.0,Bayside,-37.9102,145.0245,Southern Metropolitan,6938
165,Brighton East,38 Agnew St,3,h,1710000,S,hockingstuart,17/9/16,10.7,3187,4,3,2.0,435,228.0,1915.0,Bayside,-37.91,145.0113,Southern Metropolitan,6938
168,Brighton East,9 Montgomery St,4,h,2820000,S,Buxton,27/11/16,10.7,3187,4,4,4.0,509,337.0,1960.0,Bayside,-37.9172,145.0214,Southern Metropolitan,6938
169,Brunswick,9 Blair St,4,h,1802500,S,Jellis,3/12/16,5.2,3056,4,3,1.0,238,93.0,1910.0,Moreland,-37.7713,144.9643,Northern Metropolitan,11918
170,Brunswick,29 Stewart St,4,h,2230000,S,Nelson,4/3/17,5.2,3056,4,2,3.0,851,287.0,1940.0,Moreland,-37.7637,144.9662,Northern Metropolitan,11918
171,Brunswick,9/33 Staley St,2,u,445000,S,Walshe,7/5/16,5.2,3056,2,1,1.0,0,61.0,1975.0,Moreland,-37.7643,144.9638,Northern Metropolitan,11918
172,Brunswick,6/153 Barkly St,2,u,600000,S,Nelson,7/11/16,5.2,3056,2,1,1.0,0,75.0,2011.0,Moreland,-37.777,144.9703,Northern Metropolitan,11918
173,Brunswick,39 Eveline St,3,h,1125000,S,Jellis,8/10/16,5.2,3056,3,1,1.0,278,91.0,1910.0,Moreland,-37.7701,144.9633,Northern Metropolitan,11918
174,Brunswick,28 Osborne St,3,h,855000,S,Nelson,8/10/16,5.2,3056,3,1,1.0,229,97.0,1930.0,Moreland,-37.7622,144.9586,Northern Metropolitan,11918
176,Brunswick,175 Edward St,3,h,1261000,S,Nelson,16/4/16,5.2,3056,2,1,1.0,216,100.0,1910.0,Moreland,-37.7746,144.9697,Northern Metropolitan,11918
177,Brunswick,52 Evans St,3,h,1650000,S,Nelson,18/3/17,5.2,3056,3,1,2.0,495,141.0,1920.0,Moreland,-37.7702,144.9672,Northern Metropolitan,11918
181,Brunswick,3/30 Heller St,2,t,801000,S,Jellis,25/2/17,5.2,3056,2,2,1.0,156,87.0,2007.0,Moreland,-37.7744,144.9498,Northern Metropolitan,11918
182,Brunswick,32 Lobb St,3,t,820000,SP,Jellis,25/2/17,5.2,3056,3,2,2.0,4668,126.0,2011.0,Moreland,-37.7687,144.9649,Northern Metropolitan,11918
185,Brunswick,11/6 Sydney Rd,1,u,370000,S,Nelson,28/5/16,5.2,3056,1,1,1.0,0,54.0,1965.0,Moreland,-37.7775,144.9607,Northern Metropolitan,11918
186,Brunswick,10 Cliff St,1,h,772000,SP,Collins,28/8/16,5.2,3056,1,1,1.0,147,82.0,1890.0,Moreland,-37.7643,144.9584,Northern Metropolitan,11918
187,Brunswick,69 Glenlyon Rd,3,h,1210000,S,Nelson,28/8/16,5.2,3056,3,2,1.0,280,130.0,1890.0,Moreland,-37.7719,144.9661,Northern Metropolitan,11918
189,Brunswick,411 Barkly St,2,h,945000,S,Jellis,30/7/16,5.2,3056,2,1,2.0,246,103.0,1910.0,Moreland,-37.775,144.9536,Northern Metropolitan,11918
192,Brunswick West,12/881 Park St,1,u,300000,SP,Grantham,7/11/16,5.9,3055,1,1,0.0,0,37.0,1960.0,Moreland,-37.7763,144.947,Northern Metropolitan,7082
193,Brunswick West,1/572 Moreland Rd,3,t,797500,S,Nelson,11/2/17,5.9,3055,3,2,2.0,262,155.0,2010.0,Moreland,-37.7519,144.9324,Northern Metropolitan,7082
194,Brunswick West,81 Whitby St,3,h,1330000,S,Nelson,12/11/16,5.9,3055,3,1,2.0,353,101.0,1930.0,Moreland,-37.764,144.9428,Northern Metropolitan,7082
195,Brunswick West,201 Hope St,2,h,711000,S,Nelson,16/4/16,5.9,3055,2,1,1.0,177,87.0,1910.0,Moreland,-37.7619,144.9412,Northern Metropolitan,7082
196,Brunswick West,542 Albion St,5,h,1200000,PI,Jellis,22/8/16,5.9,3055,5,2,3.0,553,193.0,1920.0,Moreland,-37.7576,144.9348,Northern Metropolitan,7082
197,Brunswick West,12 Hamilton St,2,h,820000,S,Jellis,26/7/16,5.9,3055,3,1,1.0,206,98.0,1900.0,Moreland,-37.7604,144.9488,Northern Metropolitan,7082
200,Bulleen,19a Elizabeth St,3,u,851000,S,Jellis,3/9/16,11.8,3105,3,1,2.0,385,140.0,2000.0,Manningham,-37.7599,145.0849,Eastern Metropolitan,4480
203,Bulleen,1/15 Estelle St,3,u,787000,S,Barry,11/2/17,11.8,3105,3,1,2.0,306,100.0,1985.0,Manningham,-37.7792,145.0903,Eastern Metropolitan,4480
204,Bulleen,7 Kampman St,4,h,1300000,S,McGrath,18/3/17,11.8,3105,4,2,2.0,744,300.0,1985.0,Manningham,-37.7791,145.086,Eastern Metropolitan,4480
206,Burwood,2/32 McIntyre St,3,u,1022500,S,Ray,3/12/16,11.7,3125,3,2,2.0,265,130.0,2000.0,Whitehorse,-37.8516,145.1056,Southern Metropolitan,5678
207,Burwood,30 Station St,3,h,1755000,S,Buxton,4/2/16,11.7,3125,3,1,1.0,931,145.0,1970.0,Whitehorse,-37.854,145.1195,Southern Metropolitan,5678
209,Burwood,1/34 Cumming St,5,h,1060000,S,Ray,12/6/16,11.7,3125,4,3,2.0,326,210.0,2013.0,Whitehorse,-37.8528,145.1129,Southern Metropolitan,5678
211,Burwood,19 Puerta St,3,h,1540000,S,Jellis,17/9/16,11.7,3125,3,2,2.0,653,120.0,1950.0,Whitehorse,-37.8445,145.1011,Southern Metropolitan,5678
214,Burwood,8 Pescott Cl,4,t,1270000,S,Jellis,18/6/16,11.7,3125,4,2,2.0,399,212.0,2005.0,Monash,-37.8597,145.1084,Southern Metropolitan,5678
215,Burwood,18 Brockhoff Dr,4,h,1250000,SA,Barry,24/9/16,11.7,3125,4,2,2.0,499,220.0,2005.0,Monash,-37.8593,145.1101,Southern Metropolitan,5678
216,Camberwell,28 Brinsley Rd,4,h,2650000,S,Jellis,3/9/16,7.8,3124,4,2,1.0,652,189.0,1890.0,Boroondara,-37.8286,145.0686,Southern Metropolitan,8920
217,Camberwell,4/2 Callanish Rd,2,u,729000,S,Noel,3/12/16,7.8,3124,2,1,1.0,137,87.0,1970.0,Boroondara,-37.8459,145.088,Southern Metropolitan,8920
218,Camberwell,2 Thomas St,3,h,1690000,PI,hockingstuart,4/6/16,7.8,3124,3,2,1.0,777,154.0,1950.0,Boroondara,-37.8431,145.0962,Southern Metropolitan,8920
220,Camberwell,19 Thomas St,3,h,2325000,PI,Marshall,7/5/16,7.8,3124,3,2,2.0,1133,131.0,1930.0,Boroondara,-37.8426,145.0943,Southern Metropolitan,8920
222,Camberwell,29 Kalang Rd,4,h,2015000,S,Jellis,27/11/16,7.8,3124,4,1,4.0,772,145.0,1920.0,Boroondara,-37.8441,145.0806,Southern Metropolitan,8920
223,Camberwell,612 Riversdale Rd,4,h,2750000,PI,RT,28/5/16,7.8,3124,4,3,1.0,0,257.0,1912.0,Boroondara,-37.8325,145.0649,Southern Metropolitan,8920
225,Canterbury,5 Margaret St,4,h,2620000,S,Marshall,7/11/16,9.0,3126,4,1,1.0,717,235.0,1890.0,Boroondara,-37.8266,145.0849,Southern Metropolitan,3265
226,Canterbury,77 Highfield Rd,5,h,3550000,VB,RT,18/3/17,9.0,3126,5,4,4.0,684,427.0,2013.0,Boroondara,-37.832,145.0853,Southern Metropolitan,3265
227,Canterbury,12a View St,3,h,1850000,PI,Marshall,26/7/16,9.0,3126,3,2,2.0,361,216.0,1995.0,Boroondara,-37.8206,145.0785,Southern Metropolitan,3265
233,Carnegie,8/54 Moonya Rd,1,u,346000,S,Woodards,4/3/17,11.4,3163,1,1,1.0,60,48.0,1970.0,Glen Eira,-37.8965,145.0618,Southern Metropolitan,7822
235,Carnegie,4/314 Neerim Rd,2,u,525000,SP,hockingstuart,4/6/16,11.4,3163,2,1,2.0,0,67.0,2009.0,Glen Eira,-37.8893,145.0589,Southern Metropolitan,7822
236,Carnegie,4/12 Judith St,2,u,360000,VB,Gary,6/8/16,11.4,3163,2,1,1.0,0,70.0,1970.0,Glen Eira,-37.9032,145.0555,Southern Metropolitan,7822
237,Carnegie,78b Miller St,3,u,1008000,S,Woodards,7/11/16,11.4,3163,3,2,1.0,300,130.0,1990.0,Glen Eira,-37.8974,145.0539,Southern Metropolitan,7822
240,Carnegie,2/22 Kokaribb Rd,2,u,465000,S,Ray,11/2/17,11.4,3163,2,1,1.0,0,56.0,1970.0,Glen Eira,-37.8881,145.0558,Southern Metropolitan,7822
246,Carnegie,76 Oakleigh Rd,3,h,1125000,PI,Ray,23/4/16,11.4,3163,3,1,1.0,604,120.0,1925.0,Glen Eira,-37.8993,145.0528,Southern Metropolitan,7822
249,Carnegie,5/102 Oakleigh Rd,2,u,450000,S,Anderson,27/6/16,11.4,3163,2,1,1.0,0,72.0,1970.0,Glen Eira,-37.8999,145.0575,Southern Metropolitan,7822
250,Carnegie,3/9 Maroona Rd,1,u,365000,S,hockingstuart,30/7/16,11.4,3163,1,1,1.0,0,48.0,1960.0,Glen Eira,-37.8887,145.048,Southern Metropolitan,7822
251,Caulfield,30 Pyne St,4,h,131000,PI,Rodney,25/2/17,8.9,3162,4,1,2.0,499,155.0,1920.0,Glen Eira,-37.8864,145.0242,Southern Metropolitan,2379
253,Caulfield South,26 Flowers St,3,h,1577500,S,hockingstuart,3/9/16,9.3,3162,3,2,2.0,357,144.0,1935.0,Glen Eira,-37.8896,145.0307,Southern Metropolitan,5051
257,Caulfield South,245 Booran Rd,4,h,1570000,S,hockingstuart,28/5/16,9.3,3162,3,2,2.0,641,215.0,1970.0,Glen Eira,-37.9012,145.035,Southern Metropolitan,5051
258,Chadstone,4/5 Rae St,3,h,650000,PI,hockingstuart,15/10/16,13.6,3148,3,2,2.0,160,101.0,2000.0,Monash,-37.8859,145.0934,Southern Metropolitan,3582
