REF,,SUBJECT ,RESPONSE SENT ,RESULT 
FOI 20/420,26/10/2020,"I would like to request data from the Yellow Card Scheme on: 1. number of deaths from fire/burns relating to emollient skin creams (both paraffin-based and paraffin-free) from 1st Jan 2010 to now, split monthly in a csv file; 2. number of other adverse events/injuries from fire/burns relating to emollient skin creams (both paraffin-based and paraffin-free) from 1st Jan 2010 to now, split monthly in a csv file;)",20/11/2020,Disclosed in full
FOI 20/421,26/10/2020,"can you please provide any information/record that MHRA holds in regards to the safety evidence to support the use of the following excipients within vaccines.  a) mercury or thimerosal
b) aluminum
c) animal cell strains (animal viruses have crossed over to humans causing cancer [simian virus])
d) polysorbate 80
e) aborted fetus cells",23/11/2020,Disclosed in full
FOI 20/423,29/10/2020,I would like to request the final Pharmacovigilance inspection reports from the last inspections (final inspection reports) for GSK and Astra Zeneca.,24/11/2020,Disclosed in part
FOI 20/425,02/11/2020,"As per RFI query no.2 under the heading RMP for our ongoing MAA-Lenalidomide Capsules-PL 12762/0637-0643 for UK, MHRA has requested us to add follow-up questionnaire for tumour flare reaction in line with the originator. Additionally, we would also like to update the currently available follow up forms for risk of “Serious infection due to neutropenia” and “Secondary primary malignancies” in-line with the originator. However, these f/u forms are not publicly available, hence we would like to request you to kindly provide copy of these f/u questionnaires for the below risks. Tumour flare reaction; Serious infection due to neutropenia; Secondary primary malignancies",04/11/2020,Disclosed in full
FOI 20/426,02/11/2020,"I would like to file a freedom of information request for these documents. The MCA assessment reports used in the authorisation of the 0.4mg (October 1999) and 0.8mg (April 2001) doses of Lipobay/cerivastatin. Bayer report on the risks of Lipobay/cerivastatin sent to MCA on 18 June 2001, and the MCA's analysis of this report",26/11/2020,Not released
FOI 20/427,02/11/2020,"I would be most grateful if you would provide me, under the Freedom of Information Act, details in respect to the contract below. Multi-Domain Master Data Management Platform.",01/12/2020,Disclosed in full
FOI 20/429,30/10/2020,ADRs Teva branded Levothyroxine (lactose free) ,27/11/2020,Disclosed in part
FOI 20/430,27/11/2020,British Cannabis: Bulk CBD Cannabis Extracts - British Cannabis Are claiming MHRA registration. Could you confirm whether this is the case please? I have not found them on your register of wholesalers or manufacturers.,04/12/2020,Not released
FOI 20/431,03/11/2020,Please can you provide me with the results of the AstraZeneca vaccine trials 1 and 2 for their covid 19 vaccine that have taken place and can you confirm that in the trials that a saline placebo has not been used?,30/11/2020,Disclosed in full
FOI 20/432,03/11/2020,"IF the original product licence was The original product licence (PL 00039/0412) was granted on 17 December 1992, as an abridged simple (Article 10c) application, what was: the basis of approval for the reference product used to support the informed consent / simple abridged 10 c application. Was this product in the UK or EU. It would make sense you don’t have any clinical data as it was a 10 c application, can I get the data from the reference product please?",20/11/2020,Disclosed in full
FOI 20/433,04/11/2020,SHOT/SABRE reports 2018,05/11/2020,Disclosed in full
FOI 20/436,05/12/2020,"Please disclose the following: All relevant documents proving that all Medicines and Healthcare product Regulatory Agency (MHRA) approved vaccines have been tested for quality and relevant documents proving the safety and effectiveness of vaccines over the period between 01 January 2000 through 31 October 2020. If the referenced period is prohibitive, please provide the relevant documents for the period between 01 October 2019 and 31 October 2020.",04/12/2020,Disclosed in full
FOI 20/437,26/10/2020,"Information request for electronic copies of the non-clinical/clinical expert reports for the Cyclogest 200mg and 400mg licences mentioned above. The UK national licences for Cyclogest were approved in the UK for both strengths on 08 February 1977. As Public Assessment Reports (PARs) are currently only available for new marketing authorisations (MA’s) granted after 30 October 2005, the licences mentioned above have not been issued PARs. Would it therefore be possible for the MHRA to provide the non-clinical/clinical expert reports for these MAs?",19/11/2020,Disclosed in part
FOI 20/438,28/10/2020,"I am writing to the MHRA to ask for details of adverse drug reports from 1998 to 2020 to Minoclycline, Nitrofuantoin; and Ciprofloxacim",25/11/2020,Disclosed in full
FOI 20/439,07/11/2020,I am requesting to be informed of the number of reports received by the MHRA of adverse sexual effects caused by SSRIs.,03/12/2020,Disclosed in full
FOI 20/440,09/11/2020,"Please provide a list of all the clinical trials used to establish the UK practice recommended for 5-FU based chemotherapy regimens based on Body Surface Dosing (BSA) and a copy of all literature reporting the design, implementation and/or outcome of those trials.",01/12/2020,Not released
FOI 20/441,10/11/2020,I would like Freedom of information in regards to funding of MRHA. I would like to know if you have recieved funding from the Bill and Melinda gates foundation and whether you are government funded. ,19/11/2020,Disclosed in full
FOI 20/442,12/11/2020,Please provide the following information: The contract awarded to Genpact (UK) Ltd for procurement of an Artificial Intelligence (AI) software tool to process the expected high volume of Covid-19 vaccine Adverse Drug Reaction (ADRs) to ensure that no details from the ADRs’ reaction text are missed. The information determining the anticipation of a “[high volume] of COVID-19 vaccine Adverse Drug Reaction’s (ADR’s) and details of the anticipated ADR’s. A list of active and inactive ingredients so far known to be contained within the overtly bleated Pfizer and other manufacturer COVID-19 vaccine.,10/12/2020,Disclosed in part
FOI 20/443,09/12/2020,"I would specifically like to receive details on a drug called SNG001 which is manufactured by Synairgen based in Southampton, England. The drug completed a Phase 2 study in July 2020, with best in world results. The Health Minister is aware of this Covid19 treatment, as it was part of his televised emergency briefing in July, as a result there must be Government documents relating to this drug. Please note this drug is not part of the favoured Oxford Recovery trials. ",08/12/2020,Not released
FOI 20/444,12/11/2020,"I’m researching what MHRA is doing to ensure that Covid 19 vaccines are properly regulated and safe for the public to use.  My attention has been drawn to an MHRA contract award notice for an 'Artificial Intelligence (AI) software tool to process the expected high volume of Covid-19 vaccine Adverse Drug Reaction (ADRs) and ensure that no details from the ADRs’ reaction text are missed’. I couldn’t find anything about this contract on your website so I hope you can help me by answering a couple of questions. Why do you expect the volume of ADRs to be high? Is the software intended for Covid 19 vaccines that are still at the trial stage, or is it for any Covid 19 vaccines that MHRA will approve in the future? ",16/11/2020,Disclosed in full
FOI 20/445,12/11/2020,"I therefore request: 1. A list of all records relating to previous coronavirus pre 2018.  2. I notice MHRA has not transferred records to the National Archives. Can I have an explanation of: A) in the view of the Departmental Records Officer, how many of their historic holdings ( again pre 2018) if transferred to TNA would have been helpful in combatting coronavirus. B) why MHRA has not transferred historic records. Again the DRO response rather than a generic from comms please. C) whether coronavirus will change the transparency of MHRA and make it more willing to share it's records with researchers",08/12/2020,Disclosed in part
FOI 20/446,09/11/2020,I would also like to see the new data which will appear for the covid 19 vaccine once this is being administered to the first set of people eligible to have it.  I’d like to continue receiving the data for covid 19 vaccine at a later stage next year when more people have been given it. ,08/12/2020,Disclosed in full
FOI 20/447,12/11/2020,we request the Clinical and Non-Clinical Overviews submitted for PL 20941/0003 Paracetamol 120mg/5ml Oral Suspension that was granted under Article 10a (WEU) in March 2009 under the Freedom of Information Act.,10/12/2020,Not released
FOI 20/448,13/11/2020,"Information on a list of the current ongoing/approved/withdrawn/cancelled Marketing Authorisations of medicinal products which contain the sucralfate active substance. Please include details like Product name with strength/formulation, MAH name, Legal basis of application at the time of approval, UK national or MR/DC procedure, API CEP/DMP holder details,  License status, date of approval/cancellation/withdrawn for each marketing authorisation. If available, please arrange public assessment report (PAR) for each Marketing authorisation or advise which EU authority to contact if they are part of DCP/MR procedure. ",19/11/2020,Not released
FOI 20/449,13/11/2020,Please could you inform me as to whether or not the Covid Vaccine will be Vegan? Please could you Inform me if you have made any Appraisal of the Male Health Company -Foregen?,17/11/2020,Not released
FOI 20/450,14/11/2020,"There is a news clip on social media saying that MHAR are looking to purchase chase an AI tool to monitor the ""expected level"" of adverse reactions to the Covid Vaccine. Clearly if true this is worrying for the public  Could you firstly advise if the report it true and secondly if true can I have the details of what are the ""expected levels"" of adverse effects and what are the effects and who are likely to be effected ",17/11/2020,Disclosed in full
FOI 20/451,14/11/2020,"Concerns over the potential ADRs related to the new COVID19 vaccine in development. In the interest of public health, can you provide details of what these ADRs may be? How does MHRA intend to prevent further reactions with the use of AI, and why is this preferable to a higher degree of testing of the vaccine before it is released?",17/11/2020,Disclosed in full
FOI 20/452,16/11/2020,Under the freedom of information act I am requesting information regarding the above mentioned bone substitute:- 1.  Please can you tell me why BoneSave by Stryker which was used in my spinal fusion in 2010 at MPH has now been withdrawn/discontinued? 2.  Can you tell me whether any other patients were ill/had problems relating to the use of this in conjunction with Synthes titanium hardware or any other hardware? 3. How many other patients had to have their hardware removed after receiving this bone substitute?,25/11/2020,Disclosed in full
FOI 20/453,16/11/2020,"Can you list all the ingredients for the new covid-19/ AZD1222 SARS-COV-2 vaccine? In the next 5 to 10 years, can I have a list of all the possible side effects this may have?",17/11/2020,Not held
FOI 20/454,17/11/2020,Please disclose all known vaccines on the U.K. vaccine schedule which contain aborted human foetal cell line products. Please disclose all known adverse reactionary outcomes or side effects caused by the use of aborted human foetal cell line products in vaccine subjects.,16/12/2020,Disclosed in full
FOI 20/455,17/11/2020,"i would like the adverse drug reaction data for both the Repevax and MMR. Im not sure the rage of data you cover? or what is avaliable, could i also have any data you have on ingeditents mainly- WI-38, Hydrolysed gelatin, the aluminium prosphate, bovine serum. Any information you have on Guillain-Barre syndrome. I would also like to see the data of trials where both the repevax and the MMR being iussed at the same time? also do you hold any information how the 3-month-gestation aborted female fetus (WI-38) is obtained? ",15/12/2020,Disclosed in full
FOI 20/456,17/11/2020,would you happen to be able to confirm the main ingredients of the main candidates for COVID-19 vaccination products? I’ve read somewhere that at least one such product under testing from one of the larger pharma companies has been formulated from recombinant DNA harvested from 14-day-old aborted human foetuses – I wonder if that part is true. . . .,17/11/2020,Not held
FOI 20/457,02/11/2020,"we are looking for is the assessment report on Neupogen pediatric indication extension (Neupogen 30 MU (0.3 mg/ml) solution for injection - Paediatric extension of indication, implemented 31.01.1997,  with the UK as RMS). ",16/11/2020,Other
FOI 20/458,17/11/2020,"FOI request for PL 18259/0010, PL 18259/0011 & PL 18259/0012 Chloralieve Lozenges. The Public assessment Report (PAR) published for these products. The naming justification used to obtain ‘Chloralieve’.",19/11/2020,Not held
FOI 20/459,17/11/2020,"I would be grateful if M H R A, as a competent authority and regulator, could consider the important information provided by Dr Kaufman and respond to the following enquiry regarding ""mRNA vaccines"" at your convenience. Have mRNA vaccines previously been approved by regulators for use in the human population. Are the genetic modifications, referred to by Dr Kaufman, transferred from parent to offspring, with unknown impact on the next generation. Has the ""electroporation"" process for administering vaccines previously been approved for use in the human population by regulators. Is M H R A aware of any peer-reviewed medical / scientific paper on the subject of mRNA vaccines for use in the human population. ",16/12/2020,Disclosed in full
FOI 20/460,18/11/2020,"Could you please provide up to date Names, Job Titles, telephone numbers and email addresses for the following; Chief Executive, Deputy Chief Executive, Ministers Chair, Chief Information Officer, Chief Director of IT/Head of Finance, Chief / Deputy Chief Operating Officer, Board members (if applicable)",27/11/2020,Disclosed in full
FOI 20/461,16/11/2020,"I would like to place this freedom of informaton request. Please do feel free to contact me if any of the below is uncear of if you have any questions. How would Artificial Intelligence software tool to process the expected high volume of Covid-19 vaccine Adverse Drug Reaction differ from the traditional yellow card system? Does the MHRA accept that the yellow card system has failed in determining the true extent of vaccines damage? If vaccine based viral vectors are used in molecular biology to switch on mutated genes, does the MHRA accept that vaccines safety had been overlooked?",10/12/2020,Disclosed in full
FOI 20/462,18/11/2020,Request Risk Management System for Sitagliptin/Metformin,04/12/2020,Disclosed in full
FOI 20/463,18/11/2020,"I would like a print-out/line listing of individual cases/reports submitted of people suffering adverse side effects of the combined contraceptive pill Rigevidon, detailing information from 2018 to 2020. I would like the information annually starting from January until December (or until November in the case of 2020). ",17/12/2020,Disclosed in full
FOI 20/465,18/11/2020,"I should be most grateful if we could obtain the following documents for the medicinal product "" Glycopyrronium Bromide 1 mg/5 mL oral solution"", PL 41344/0010, MAH: Colonis Pharma Limited. Clinical Overview, Preclinical Overview, Risk Management Plan, Public Assessment Report",17/12/2020,Disclosed in part 
FOI 20/466,19/11/2020,"Please may I have a breakdown of the number of civil servants employed at the MHRA stratified by their Civil Service grade band (i.e. HEO, SEO, Grade 6, etc.). Could you provide MHRAs job grade and the salary bands, showing national, outer london, and inner london pay bands",09/12/2020,Disclosed in full
FOI 20/468,20/11/2020,"Under FOI Act, we request the MHRA to provide UK PAR for below mentioned licensed product: Ceyesto 3 mg tablets, MA Number PL 16784/0004, HK Pharma Ltd",24/11/2020,Not held
FOI 20/469,20/11/2020,"Further to the FOI that was completed in July 2020, would it please be possible to receive an update on the Diazoxide preparations and Povidone-Iodine Preparations breaking the data down to the pharmaceutical dosage form, and if possible the strength, that is being imported.",14/12/2020,Disclosed in full
FOI 20/471,21/11/2020,I am requesting information on how the MHRA is funded. This should include:Names of all organisations who fund the MHRA. What purpose each individual payment is intended for. The percentage of the MHRA funding from each organisation. The total amount of funding from each organisation (GBP),25/11/2020,Disclosed in full
FOI 20/472,22/11/2020,   I am extremely alarmed to hear that the MHRA has accepted substantial amount of funds from  Bill Gates.  Is this true and if so how much. If so I  have no doubt that this vaccine will be passed as completely safe whether it is or not and at the moment Who knows about the mid to long term problems to surface?  Do you know?  No? But if the MHRA does pass this vaccine as safe   I will have as much faith in your reasons and arguments as I do in the pronouncements of Sage who also collect indirectly substantial funds from the same source ,30/11/2020,Disclosed in full
FOI 20/473,20/11/2020,"PL 04425/0883 Ibuprofen and caffeine sanofi 400 MG/100 MG film-coated tablets. We would like to make a request under the Freedom of Information Act, for information held on the product listed above. Specifically, we would like you to provide us with:The Public assessment Report (PAR), The Risk Management Plan (RMP), Clinical Overview",25/11/2020,Not held
FOI 20/474,22/11/2020,"I  also make a freedom of information request that you supply me with the following information:1 Please confirm the total numbers of deaths in the UK FROM Covid19 between 1st march 2020 and 1st November 2020. 2 Please confirm the number of deaths FROM covid19 for each individual month, from march through to November 2020. 3 Please supply evidence that SARSCOV2 has been proven to exist. 4 Please supply evidence that SARSCOV2 is the cause of the illness COVID19. 5 In order to approve any vaccine or product for emergency use, you must hold evidence and be able to prove that an emergency exists.",30/11/2020,Not held
FOI 20/475,23/11/2020,"are the board members who have shares in vaccine companies, and or get funding from drug companies being excluded from all decisions about vaccines in the UK and especially with the new covid-19 vaccines and medicines? 2. when making these decisions do you take into account there are other options to help with corvid-19 like HCQ/Zinc combination in the proven studies around the world and the withdrawn study against from the lancet and also other medicines and therapies?",23/12/2020,Disclosed in full
FOI 20/476,23/11/2020,"I am working on evidence review of anti-cataplectic drugs and I was looking for PAR (or EPAR) on clomipramine for its UK license for cataplexy associated with narcolepsy (trial data, study design, questionaires or measurment used to assess efficacy). I did not find this level of data on the MHRA website, or on the European Medicines Agency website and the FDA did not grant clomipramine license for cataplexy. ",26/11/2020,Not held
FOI 20/478,24/11/2020,"Lenalidomide - request any UK specific documentation relating to the RMP for these products, such as the educational materials and communications to healthcare professionals, patient information, and prescription authorisation form, to the extent they have been submitted by the relevant manufacturer? ",30/11/2020,Not held
FOI 20/479,23/11/2020,"How can Dr June Rainer professes that she will only authorise the vaccines if they pass safety tests. The above answers her question. They are not safe. The test protocols for the vaccines are such that they do not have to show that they stop transmission, stop hospitalisation or deaths. What therefore is the point? mRNA vaccines have never been used on humans before, the trials are far to short to show the side effects. 2014 mRNA vaccine trial showed that all ferrets died.",22/12/2020,Disclosed in full
FOI 20/481,27/11/2020,"Please disclose a clinical review or study paper into Randomised Control Trial’s demonstrating the safety of Aluminium Adjuvants contained within any Vaccine. 1.1 If the previous disclosure requirement (1) is prohibitive, please disclose any other form of documentary evidence demonstrating that Aluminium Adjuvants contained within Vaccines are safe. 2. Please disclose a list of all known nano-particles currently contained within any Vaccine on the U.K. Vaccine schedule. 3. Please disclose any clinical evidence that nano-particles of any substance contained within Vaccines are incapable of crossing the blood-brain barrier.",24/12/2020,Disclosed in full
FOI 20/483,27/11/2020,"Please can I request, from the Medicines and Healthcare products Regulatory Agency, copies of all email correspondence containing the phrase 'target product profile' and also the phrase 'SARS-Cov-2' and fitting all three of the following criteria: 1) Message sent or received since 01/03/2020; 2) Message sent to or from an MHRA employee or board member; 3) Message sent to/from another MHRA employee or to/from a Department of Health and Social Care employee (suffix @dhsc.gov.uk) or to/from a government minister.",11/12/2020,Not released
FOI 20/484,27/11/2020,"I wish to submit a request to the organisation around their hosting contract(s) with 3rd party providers. The type of contract I wish to see is below: Cloud Hosting- Cloud hosting services provide hosting for websites on virtual servers, which pull their computing resource from extensive underlying networks of physical web servers.",23/12/2020,Disclosed in full
FOI 20/485,28/11/2020,"In accordance with the Freedom of Information Act, I am requesting a copy of the minutes for the of the Clinical Trials, Biologicals & Vaccines Expert Advisory Group, for all meetings in 2020 up to the current date, 28th November 2020.",29/12/2020,Disclosed in full
FOI 20/486,28/11/2020,"Under FOI  Act 2000, please provide me with the following: 1) Nasal Flu Vaccine Efficacy rates for the past 5 years. 2)  Data on yellow card reporting for the nasal flu vaccine for the past 5 years",24/12/2020,Disclosed in full
FOI 20/487,27/11/2020,Is it true what I'm hearing about vested interests and conflicts of interest regarding your forthcoming assessment of the upcoming vivid vaccine? I'm referring to things such as previous employment within vaccine development companies and in particular investment in coronavirus vaccines on the part of MHRA employees?,18/12/2020,Disclosed in full 
FOI 20/488,27/11/2020,"From the time the first notification of Coronavirus vaccine human trials within the UK was registered by MHRA, until you anticipate approval for vaccination of the UK general public (presumably mid 2021): Are MHRA provisioning additional resources to expedite vaccine approval for SARSs, as follows:  a)	How much extra funding has been / will be specifically provided from public sources and …
b)	… from other sources? (Recognising details of private funding may be confidential)
c)	By how many people has MHRA’s expert/technical team staffing level been increased (or is planned to increase) to cope with the extra regulatory work due to the vaccines?
d)	If the European Medicines Agency approves a vaccine for the EU prior to 1 Jan 2021, will the MHRA automatically approve that vaccine for use in the UK and extend approval beyond the end of the Brexit transition period (i.e. into 2021)?
e)	What provisions are being made for enhanced patient liaison and monitoring of delivery, effectiveness and side effects during the initial vaccinations? Recognising that these vaccines’ development has been greatly accelerated because of the health emergency.",22/12/2020,Disclosed in full 
FOI 20/489,30/11/2020,"1. A complete list of ALL Peer Reviewed Clinical Evidence for Tests and Protocols for the RT PCR tests currently being used to determine the infection rate of SARS – CoV-2 with or without symptoms, in the British public, which conclusively demonstrate the reliability, specificity and robust ability of the Testing regime and the results obtained. 2.	A complete list of all Peer Reviewed Clinical Evidence showing the isolated genomic RNA of the virus – referred to as SARS- CoV-2. ",22/12/2020,Not held 
FOI 20/490,01/12/2020,Pharmacovigilance & GCP inspection reports be provided for all Companies that had major or critical findings please from April 1st 2020 – 31st August 2020.,21/12/2020,Disclosed in part
FOI 20/491,01/12/2020,"Can you please supply the full list of ingredients used in the development, production and manufacture of the new vaccines for Sars-Cov2, Covid-19, coronavirus.",08/12/2020,Disclosed in part 
FOI 20/492,27/11/2020,Dakarin 2% Oral Gel Dosage,23/12/2020,Disclosed in full
FOI 20/495,01/12/2020,"Freedom of Information Act to request regulatory information on Lamisil 1% Spray. The information that I am requesting is as follows: The date of first authorisation of Lamisil 1% Spray, The authorisation holder, Regulatory basis of the authorisation, Legal classification of the product at the time of grant of the authorisation, Copies of Public Assessment reports",28/12/2020,Disclosed in full
FOI 20/497,02/12/2020,"Please provide copies of the following three GMP Inspection reports: Almac Clinical Sciences (MIA-IMP 20377), 27 July 2020, Almac Clinical Sciences (MIA-IMP 20377), 21 March 2019, Catalent UK Packaging (MIA-IMP 1380), 19 Sept 2017",30/12/2020,Disclosed in full
FOI 20/498,02/12/2020,CanG497:G498 you provide me with the trials for the elderly and the vulnerable for the Pfizer covid vaccine please? Safety and efficacy studies for this group as they are being selected as the first round of guinea pigs. Its my understanding this group of people are not included in,23/12/2020,Disclosed in full
FOI 20/499,02/12/2020,"1. How many had existing comorbidities eg epilepsy, copd, obesity, heart failure, kidney issues, psychosis, asthma.  2. How many were/are on meds such as inhalers, heart meds, lamotrigine, tramadol, adcal, alendronic acid, spironolactone, pizotifen, quetiapine, paracetamol, montelukast, sleeping pills etc.  3. Did the vaccine react or stop other meds from working? 4. Did anyone have any allergic reactions? Like swelling of lips & throat?",23/12/2020,Disclosed in full
FOI 20/500,02/12/2020,"I am looking for the breakdown of the participants in the Pfitzer COVID-19 vaccination trial (approved 02 12 2020) by sex, under the Freedom of Information Act of 2000. Please include any information on side effects noted between the two",23/12/2020,Disclosed in full 
FOI 20/502,02/12/2020,Can you please provide me with the results of the safety and efficacy trials for the elderly and vulnerable in the Pfizer vaccine. I believe that these groups are among the first to be “offered” said vaccine. ,21/12/2020,Disclosed in part 
FOI 20/503,11/12/2020,Would you be able to share with us summary of reference product RMP? Reference product for this procedure is Strattera from Eli Lilly (MA number in UK for 10 mg PL 00006/0375).,22/12/2020,Disclosed in part 
FOI 20/505,02/12/2020,"•The overall expected ADR’s
•In in turn these figures by age.
That you will ensure the public will be widely informed at all times.
•The list of expected ADR’s in all groups, and then by age.
•How many prolonged hospitalisations are expected, and then by age.
•How many long term complications, and then by age.
•The estimated number of fatalities, and by then by age.
•The source(s) of the information you are relying on to make these estimates",04/01/2020,Disclosed in full 
FOI 20/506,02/12/2020,"1. Information on studies and tests declaring Covid19 vaccine to be safe

2. correspondence of public interest between the parliament and MHRA in regards to rapidly processing safety reports for the Covid19 vaccine. 

3. The reason why this vaccine requires such a temperature equivalent to that of Cryostasis?.

4. Evidence to suggest that the Vaccine is necessary for use on the general population considering that Covid19 was declared a NON HCID back in March on the 19th 2020 by Public health England. 

5. list of all funding bodies, financial assistance and share holders currently registered with MHRA. 

6. The last 3 month’s of spending by the MHRA and what if possible they were used for by whom and what purpose. 

7. Risk assessment data on the Covid 19 vaccine. 

8. any other documents deemed public interest over the last 2 months 

9. what specific mRNA data held by MHRA regarding Covid 19 vaccine, and included side effects of such mRNA regarding Covid19 vaccine. 

10. Covid19 vaccine leaflet/documentation list of ingredients etc and anything else important to the people of the UK in respects to public interest and safety concerns. ",21/12/2020,Disclosed in part 
FOI 20/507,03/12/2020,"> 1) Please name the studies that indisputably show that the SARS-Cov-2 virus has been proven to exist (complete purification, isolation and definition of biochemical properties plus electron micrographs)
> 2) Please name and identity studies that indisputably show that SARS-Cov-2 causes disease (and that other factors like malnutrition, co-morbidities, toxins etc. do not, at least, co-determine the course of the disease) 
> 3) Please name at least two peer reviewed studies that show vaccinations to be both effective and active.",16/12/2020,Disclosed in full
